"","E1U","E2F","E2M","E3F","E3M","E4F","E4M","E5F","E5M","E6F","E6M","E7F","E7M","E8F","E8M"
"FBgn0031208",1.84072699951909,116.068745555812,152.44428248686,145.377556534714,114.606451478303,89.9788270470848,45.7316547662128,90.3594750110464,63.0910633370844,90.7886702989219,62.0914800304872,36.6232068188994,29.0465728739987,32.4944458084269,27.349522629135
"FBgn0002121",1513.75552847311,5676.97846210529,5338.71945747363,7441.03194397752,7105.06083945111,6799.71685660283,3960.80234048092,5904.58211342505,5722.86593865138,5239.51185050189,5061.56351473794,2857.16591544893,2921.31610912171,3475.68812342309,3534.68760924601
"FBgn0031209",0.217102318090042,4.3348634035015,1.22062803448206,1.36005575038643,3.68210195865263,3.07919527765303,6.7285857491026,7.33757197571514,5.80215482874693,1.53680068703058,0.663633132426503,6.77745884175722,7.06049339384376,5.33212807120566,3.07789707515504
"FBgn0051973",1.83529348910838,118.48571122752,102.978996743793,154.871477528575,173.122561448072,123.921843087533,238.087567619643,270.667842141938,205.812608305972,154.453310305502,129.134138395239,211.754536205738,258.573633843173,434.310220631712,322.170418185554
"FBgn0267987",0.115750839639809,1.91771388742245,0.423901916760737,2.04008362557965,4.56087172179238,1.70002308141546,6.07905276587932,11.7232149467073,5.52981262205949,3.02465754913313,0.84881547870187,8.60711345660527,7.80406702321531,10.3395547244981,8.8691521859471
"FBgn0266878",0,0.210548188669522,0.46169086278338,0.609839112480415,0.360819888856447,0.75240060362084,2.58706640105166,3.9578206549831,2.05834876990954,0.76840034351529,3.72148568435164,1.64846469651977,3.79153429275773,1.11036321238023,1.59340610930922
"FBgn0067779",488.430606761547,395.55236342971,356.044911841264,583.164865460815,637.350129022254,636.085092674681,540.588329073193,585.329587883635,565.316886328964,491.350249202219,492.021212279109,436.914198854234,444.516610242761,490.067666894015,462.962640429463
"FBgn0266322",1.26789399374057,2.04255311799424,3.13071928953829,3.11938432511488,1.40166609775644,2.50708637046692,1.35737994566401,2.44184624197117,0.942557200399427,3.02465754913313,2.01527786499868,2.98241766306626,1.48714725874311,4.50116311330003,8.03053982415127
"FBgn0031213",327.71444782042,15.863815352214,21.0632046156357,7.12936281356138,6.09289372830647,4.20710945188238,5.69597229505023,5.93912052015935,4.05609440472673,3.07360137406116,3.73597696429295,20.912374399916,13.5316576204878,126.526893169034,146.043659610822
"FBgn0031214",0,0.784473213233293,2.85186921594734,2.57973397534726,3.98556538466973,2.16636923144324,0.452459981888004,1.29032065828441,0.942557200399427,1.87205703386019,0.31764690759494,1.67352652316306,3.57053585505787,4.73372829475645,5.07581255262897
